packaging,base_name,ecommerce_category,mrp
50g,BRU Instant,Coffee,175
1.8g,BRU coffee,Coffee,2
100g,Badam,Dry Fruits & Nuts,110
standard,Badam 250 g,Dry Fruits & Nuts,300
50g,Badam,Dry Fruits & Nuts,55
standard,Badam250g,Dry Fruits & Nuts,250
100g,Badisoap,Mukhwas & Mouth Freshener,68
250g,Badam,Baby Foods,250
100g,Badam,Dry Fruits & Nuts,120
standard,Badisaop Goli,Food & Grocery,35
100g,Anjeer,Dry Fruits & Nuts,240
250g,Anjeer,Dry Fruits & Nuts,600
50g,Badisoap,Mukhwas & Mouth Freshener,34
50g,Badshah Pav Bhaji Masala,Masala & Spices,35
50G,Badshah Rajwadi Garam Masala Powder,Masala & Spices,51
50g,Badshah Tea Masala,Tea & Beverages,57
190ml,Bajaj Almond Drops,Hair Care & Oil,138
285ml,Bajaj Almond Drops,Hair Care & Oil,195
475ml,Bajaj Almond Drops,Hair Care & Oil,305
95ml,Bajaj Almond Drops,Hair Care & Oil,70
45ml,Bajaj Almond drops,Hair Care & Oil,37
standard,Bajaka phoa,Baby Foods,30
standard,Bajari,Food & Grocery,12
500g,Dehaat Panchratan Dal,Dals & Pulses,155
standard,Bajari,Food & Grocery,96
standard,Bajari,Food & Grocery,144
200g,Bajari kurmura,Food & Grocery,50
standard,Bake Lite 200 g Plpch Milk Toasted Bread,Bakery & Breads,52
standard,Balshepa,Food & Grocery,12
standard,Balshepa,Food & Grocery,240
100g,Balshepa,Food & Grocery,48
50g,Balshepa,Food & Grocery,24
200g,Bambino Roasted Vermicelli,"Noodles, Pasta & Vermicelli",28
500g,Bambino Roasted Vermicelli,"Noodles, Pasta & Vermicelli",65
200g,Bambino Vermicelli,"Noodles, Pasta & Vermicelli",20
500g,Bambino Vermicelli,"Noodles, Pasta & Vermicelli",50
100g,Banana Cheese Wafer,Biscuits & Cookies,50
200g,Banana cheese wafer,Laundry & Detergent Powder,100
standard,Barbeque Mayo,"Sauces, Jams & Spreads",119
250g,Barik Chawali,Food & Grocery,65
500g,Barik Chawali,Food & Grocery,130
250g,Balshepa,Food & Grocery,120
1kg,Barik Rawa,Flours & Semolina,76
500g,Barik Mataki,Food & Grocery,130
1kg,Bajari,Food & Grocery,48
500g,Bajari,Food & Grocery,24
250kg,Barik Rawa,Flours & Semolina,20
500kg,Barik Rawa,Flours & Semolina,38
standard,Barik Sabudana,"Rice, Poha & Puffed Rice",60
250g,Barik Sabudana,"Rice, Poha & Puffed Rice",30
250g,Barik Tikhat Shev,Food & Grocery,75
500g,Barnyard Millet (Sava),Food & Grocery,160
standard,Basmati Rice,"Rice, Poha & Puffed Rice",150
standard,Basmati Rice Chivda,Snacks & Namkeen,65
standard,Cafune's Jamun Shots,Dry Fruits & Nuts,250
500g,Bhagar,Food & Grocery,100
standard,Bedagi Mirchi,Masala & Spices,240
standard,Bedagi Mirchi,Masala & Spices,480
100G,Bedekar Goda Masala,Masala & Spices,65
standard,Jada Poha 500kg ,"Rice, Poha & Puffed Rice",38
1kg,Besan,Food & Grocery,150
250g,Besan,Food & Grocery,38
500g,Besan,Food & Grocery,75
1kg,Besan Laddu Atta,Flours & Semolina,150
250g,Besan Laddu Atta,Flours & Semolina,38
250g,Besan Ladoo,Indian Sweets,160
500g,Besan laddu Atta,Flours & Semolina,75
200g,Poha Papad,Ready to Cook & Instant Mixes,70
200g,Bhajaka Kurmura,Food & Grocery,42
standard,Bhajake Pohe,"Rice, Poha & Puffed Rice",120
250g,Bhajake Pohe,"Rice, Poha & Puffed Rice",30
500g,Bhajake Pohe,"Rice, Poha & Puffed Rice",60
77,Basmati Tukda,"Rice, Poha & Puffed Rice",77
250g,Bhatta Kani,Flours & Semolina,80
standard,Bhatta. Kani Shev,Flours & Semolina,70
250g,Bhadas Jada Poha,"Rice, Poha & Puffed Rice",17
standard,Bedagi Mirchi,Masala & Spices,40
250g,Bhakarwadi,Snacks & Namkeen,80
standard,Jada Poha 1kg ,Bakery & Breads,72
standard,Bedagi Mirchi,Masala & Spices,100
100gs.,Bedekar Ready Pickles Mix,Pickles & Chutneys,75
250g,Bhavnagari,Food & Grocery,75
standard,Bingo Tamato,Baby Foods,60
standard,Bisk Farm Googly Salted Biscuits 95 gs,Biscuits & Cookies,10
300G,Bisk Farm Sugar Free Marie,Biscuits & Cookies,50
250g,Irani Pista,Dry Fruits & Nuts,400
200g,Nachani Papad,Ready to Cook & Instant Mixes,70
standard,Black Manuka,Food & Grocery,400
standard,Black Manuka,Food & Grocery,800
